StudentID,Gender,Age,StudyHours,TestScore,Grade
1,Female,26,4,45,Fail
2,Male,23,4,49,Fail
3,Female,29,10,38,Fail
4,Male,33,7,43,Fail
5,Male,26,9,84,Pass
6,Male,26,2,99,Pass
7,Male,28,1,57,Fail
8,Female,25,2,55,Fail
9,Female,27,7,61,Pass
10,Male,19,10,83,Pass
11,Female,23,6,58,Fail
12,Female,19,4,47,Fail
13,Male,33,1,69,Pass
14,Male,34,1,68,Pass
15,Female,25,5,100,Pass
16,Female,30,1,100,Pass
17,Female,26,7,57,Fail
18,Female,23,11,75,Pass
19,Male,28,1,100,Pass
20,Male,23,1,56,Fail
21,Female,35,2,44,Fail
22,Male,23,11,78,Pass
23,Female,33,10,73,Pass
24,Female,31,3,45,Fail
25,Male,19,11,61,Pass
26,Female,29,1,61,Pass
27,Female,19,9,69,Pass
28,Male,29,10,38,Fail
29,Male,34,8,55,Fail
30,Female,31,5,82,Pass
31,Female,25,11,56,Fail
32,Male,19,2,78,Pass
33,Female,34,5,77,Pass
34,Female,19,6,78,Pass
35,Male,35,1,65,Pass
36,Male,24,11,42,Fail
37,Male,20,4,53,Fail
38,Male,35,9,96,Pass
39,Male,24,2,61,Pass
40,Male,32,5,74,Pass
41,Female,24,1,40,Fail
42,Female,28,4,66,Pass
43,Male,27,4,56,Fail
44,Male,26,6,39,Fail
45,Female,28,10,59,Fail
46,Female,35,9,87,Pass
47,Female,24,3,54,Fail
48,Male,32,9,62,Pass
49,Male,24,6,92,Pass
50,Female,25,7,72,Pass
51,Male,30,10,100,Pass
52,Male,21,2,44,Fail
53,Male,32,11,53,Fail
54,Female,34,10,67,Pass
55,Female,25,6,73,Pass
56,Male,26,6,81,Pass
57,Male,31,2,93,Pass
58,Male,27,2,69,Pass
59,Male,28,2,63,Pass
60,Male,27,10,81,Pass
61,Female,33,1,40,Fail
62,Male,20,5,58,Fail
63,Male,31,8,100,Pass
64,Male,20,2,62,Pass
65,Female,20,5,68,Pass
66,Female,21,8,60,Pass
67,Male,24,10,82,Pass
68,Female,21,5,71,Pass
69,Female,28,2,73,Pass
70,Female,24,3,68,Pass
71,Female,34,6,43,Fail
72,Female,35,11,69,Pass
73,Female,21,11,67,Pass
74,Male,25,5,91,Pass
75,Female,27,11,97,Pass
76,Female,30,4,48,Fail
77,Male,23,4,47,Fail
78,Male,21,5,60,Pass
79,Male,29,2,44,Fail
80,Male,22,9,68,Pass
81,Female,23,2,93,Pass
82,Female,19,10,74,Pass
83,Female,30,2,96,Pass
84,Female,31,10,58,Fail
85,Male,27,9,70,Pass
86,Female,20,3,55,Fail
87,Female,23,10,88,Pass
88,Male,31,7,56,Fail
89,Female,34,4,92,Pass
90,Female,34,6,50,Fail
91,Female,21,4,69,Pass
92,Female,22,10,46,Fail
93,Male,29,7,52,Fail
94,Male,32,1,100,Pass
95,Male,21,3,100,Pass
96,Male,34,3,98,Pass
97,Male,33,1,40,Fail
98,Female,28,6,63,Pass
99,Female,27,11,64,Pass
100,Male,29,9,97,Pass
101,Male,34,8,79,Pass
102,Male,28,11,52,Fail
103,Female,35,7,95,Pass
104,Male,20,10,88,Pass
105,Female,20,8,69,Pass
106,Female,24,6,84,Pass
107,Female,26,9,55,Fail
108,Female,21,3,57,Fail
109,Male,32,10,58,Fail
110,Female,34,10,45,Fail
111,Female,19,9,45,Fail
112,Male,21,4,45,Fail
113,Female,27,7,63,Pass
114,Female,24,9,53,Fail
115,Female,19,2,80,Pass
116,Male,28,2,93,Pass
117,Female,24,9,81,Pass
118,Female,30,3,44,Fail
119,Male,22,9,52,Fail
120,Male,31,5,54,Fail
121,Female,35,6,97,Pass
122,Female,26,2,95,Pass
123,Male,21,8,69,Pass
124,Female,30,11,37,Fail
125,Male,25,9,48,Fail
126,Female,30,2,42,Fail
127,Male,20,6,77,Pass
128,Female,32,6,91,Pass
129,Male,23,8,41,Fail
130,Male,27,10,95,Pass
131,Male,29,5,52,Fail
132,Male,23,9,54,Fail
133,Male,21,1,85,Pass
134,Female,35,9,54,Fail
135,Female,20,10,37,Fail
136,Male,19,7,55,Fail
137,Female,25,4,90,Pass
138,Female,32,3,97,Pass
139,Female,23,10,44,Fail
140,Female,29,11,39,Fail
141,Female,20,6,94,Pass
142,Female,26,1,61,Pass
143,Male,27,3,94,Pass
144,Female,21,2,41,Fail
145,Female,20,11,91,Pass
146,Female,25,9,76,Pass
147,Male,23,3,55,Fail
148,Female,23,2,54,Fail
149,Female,31,4,86,Pass
150,Female,24,2,89,Pass
151,Male,20,1,67,Pass
152,Female,24,6,69,Pass
153,Male,27,10,83,Pass
154,Female,21,8,54,Fail
155,Male,19,10,97,Pass
156,Male,19,10,93,Pass
157,Male,23,2,75,Pass
158,Female,31,9,52,Fail
159,Male,30,3,99,Pass
160,Male,34,8,52,Fail
161,Male,21,8,83,Pass
162,Male,30,3,74,Pass
163,Female,23,3,77,Pass
164,Female,20,6,43,Fail
165,Female,25,1,50,Fail
166,Female,31,4,79,Pass
167,Male,33,1,89,Pass
168,Female,21,3,99,Pass
169,Male,23,9,84,Pass
170,Female,26,5,61,Pass
171,Female,19,5,68,Pass
172,Female,26,11,74,Pass
173,Male,34,4,58,Fail
174,Female,30,3,95,Pass
175,Female,31,5,52,Fail
176,Female,31,11,88,Pass
177,Male,28,4,65,Pass
178,Female,25,8,52,Fail
179,Female,32,4,48,Fail
180,Male,34,11,53,Fail
181,Male,33,8,73,Pass
182,Female,30,6,100,Pass
183,Female,27,11,63,Pass
184,Female,26,5,61,Pass
185,Male,31,4,49,Fail
186,Male,33,4,44,Fail
187,Male,22,4,92,Pass
188,Female,35,11,41,Fail
189,Male,23,9,48,Fail
190,Female,34,4,77,Pass
191,Male,27,9,39,Fail
192,Male,28,10,71,Pass
193,Male,35,6,69,Pass
194,Female,25,10,93,Pass
195,Female,22,7,58,Fail
196,Female,23,10,86,Pass
197,Female,34,3,92,Pass
198,Male,21,8,80,Pass
199,Female,32,3,45,Fail
200,Male,33,1,77,Pass
201,Female,35,10,54,Fail
202,Female,19,5,86,Pass
203,Male,35,2,65,Pass
204,Male,29,10,75,Pass
205,Female,35,6,63,Pass
206,Female,32,10,72,Pass
207,Male,25,9,81,Pass
208,Male,31,1,53,Fail
209,Male,32,4,92,Pass
210,Male,19,1,70,Pass
211,Male,25,1,82,Pass
212,Female,26,8,39,Fail
213,Female,27,11,41,Fail
214,Female,19,2,50,Fail
215,Female,35,1,39,Fail
216,Male,24,11,59,Fail
217,Male,21,8,75,Pass
218,Male,23,4,66,Pass
219,Female,20,3,86,Pass
220,Male,22,4,81,Pass
221,Male,28,11,97,Pass
222,Female,28,5,59,Fail
223,Female,29,1,63,Pass
224,Female,34,11,90,Pass
225,Male,35,1,46,Fail
226,Male,34,3,61,Pass
227,Female,25,6,49,Fail
228,Female,34,1,52,Fail
229,Male,21,11,77,Pass
230,Female,34,2,70,Pass
231,Male,26,7,91,Pass
232,Female,30,1,100,Pass
233,Female,21,7,73,Pass
234,Female,35,4,97,Pass
235,Male,29,10,58,Fail
236,Male,22,6,100,Pass
237,Female,34,8,53,Fail
238,Male,35,9,59,Fail
239,Female,27,6,90,Pass
240,Female,24,11,72,Pass
241,Male,20,9,85,Pass
242,Male,27,4,45,Fail
243,Male,24,6,88,Pass
244,Male,21,8,38,Fail
245,Female,24,9,68,Pass
246,Male,25,3,92,Pass
247,Male,19,2,86,Pass
248,Female,19,6,89,Pass
249,Female,23,4,95,Pass
250,Female,24,1,58,Fail
251,Female,31,8,79,Pass
252,Male,20,9,49,Fail
253,Male,33,9,44,Fail
254,Female,33,2,95,Pass
255,Female,31,9,37,Fail
256,Male,32,7,53,Fail
257,Male,25,5,48,Fail
258,Male,32,7,40,Fail
259,Male,28,9,89,Pass
260,Male,35,8,49,Fail
261,Female,32,6,67,Pass
262,Female,26,4,97,Pass
263,Female,22,1,77,Pass
264,Female,34,6,95,Pass
265,Male,31,3,98,Pass
266,Female,32,6,43,Fail
267,Male,23,6,59,Fail
268,Male,27,4,60,Pass
269,Male,21,2,99,Pass
270,Male,26,9,41,Fail
271,Male,28,2,41,Fail
272,Male,21,3,53,Fail
273,Male,29,10,66,Pass
274,Female,29,1,45,Fail
275,Male,35,7,42,Fail
276,Female,34,1,61,Pass
277,Female,25,11,55,Fail
278,Male,22,9,52,Fail
279,Male,30,11,57,Fail
280,Female,33,11,38,Fail
281,Female,29,1,46,Fail
282,Female,23,5,52,Fail
283,Female,23,7,73,Pass
284,Male,33,3,51,Fail
285,Male,29,9,49,Fail
286,Male,30,8,49,Fail
287,Female,20,3,68,Pass
288,Male,33,5,81,Pass
289,Female,22,7,83,Pass
290,Male,24,4,82,Pass
291,Female,29,5,44,Fail
292,Male,20,3,79,Pass
293,Male,26,9,54,Fail
294,Female,29,10,92,Pass
295,Female,23,9,72,Pass
296,Female,32,7,62,Pass
297,Female,28,10,46,Fail
298,Female,21,2,67,Pass
299,Male,27,7,69,Pass
300,Female,21,7,65,Pass
301,Male,29,11,41,Fail
302,Male,30,5,49,Fail
303,Male,30,9,37,Fail
304,Male,21,11,59,Fail
