StudentID,Gender,Age,StudyHours,TestScore,Grade
1,Male,28,3,82,Pass
2,Female,27,2,86,Pass
3,Male,35,6,62,Pass
4,Female,23,6,50,Fail
5,Male,37,7,50,Fail
6,Female,31,5,69,Pass
7,Female,29,8,51,Fail
8,Female,25,7,86,Pass
9,Male,30,2,46,Fail
10,Female,35,1,82,Pass
11,Male,34,9,56,Fail
12,Male,24,5,83,Pass
13,Male,22,11,86,Pass
14,Male,32,5,35,Fail
15,Male,21,10,100,Pass
16,Female,25,4,98,Pass
17,Male,26,2,42,Fail
18,Female,31,5,59,Fail
19,Female,28,2,100,Pass
20,Male,27,7,85,Pass
21,Female,24,11,87,Pass
22,Female,26,9,49,Fail
23,Male,36,9,84,Pass
24,Female,35,11,72,Pass
25,Male,34,6,74,Pass
26,Male,32,1,100,Pass
27,Male,32,6,73,Pass
28,Female,36,5,51,Fail
29,Female,35,4,41,Fail
30,Female,33,6,73,Pass
31,Female,31,6,69,Pass
32,Male,37,6,85,Pass
33,Male,35,2,81,Pass
34,Female,34,7,70,Pass
35,Male,30,4,98,Pass
36,Female,32,9,47,Fail
37,Male,36,10,52,Fail
38,Male,35,2,55,Fail
39,Male,30,5,99,Pass
40,Male,24,4,42,Fail
41,Male,29,9,82,Pass
42,Female,29,4,77,Pass
43,Female,31,8,87,Pass
44,Male,31,8,61,Pass
45,Female,27,6,53,Fail
46,Male,30,6,57,Fail
47,Male,24,11,84,Pass
48,Male,25,8,85,Pass
49,Male,25,10,77,Pass
50,Female,31,9,85,Pass
51,Male,29,5,75,Pass
52,Female,36,11,45,Fail
53,Male,29,1,86,Pass
54,Male,24,1,57,Fail
55,Female,22,2,83,Pass
56,Male,34,10,72,Pass
57,Male,23,10,81,Pass
58,Female,38,5,41,Fail
59,Female,26,4,100,Pass
60,Female,31,1,96,Pass
61,Male,38,4,63,Pass
62,Male,32,4,72,Pass
63,Female,25,10,67,Pass
64,Female,29,4,63,Pass
65,Male,38,1,57,Fail
66,Male,23,9,37,Fail
67,Female,29,3,79,Pass
68,Female,24,4,42,Fail
69,Female,37,5,63,Pass
70,Female,37,7,36,Fail
71,Male,22,6,84,Pass
72,Male,29,5,99,Pass
73,Male,29,8,54,Fail
74,Male,25,1,86,Pass
75,Female,35,7,71,Pass
76,Male,35,6,61,Pass
77,Female,23,11,81,Pass
78,Male,23,5,40,Fail
79,Male,26,7,94,Pass
80,Male,24,3,79,Pass
81,Female,33,1,78,Pass
82,Male,33,9,52,Fail
83,Female,31,2,99,Pass
84,Female,25,10,59,Fail
85,Male,21,3,61,Pass
86,Female,29,8,41,Fail
87,Male,37,10,78,Pass
88,Female,21,9,63,Pass
89,Male,23,3,78,Pass
90,Female,35,6,70,Pass
91,Female,30,7,53,Fail
92,Male,28,1,40,Fail
93,Male,32,7,59,Fail
94,Male,35,4,65,Pass
95,Male,29,5,43,Fail
96,Female,30,8,71,Pass
97,Female,29,4,61,Pass
98,Female,35,4,47,Fail
99,Female,21,8,75,Pass
100,Male,22,5,100,Pass
101,Female,34,6,58,Fail
102,Male,28,11,78,Pass
103,Female,26,5,94,Pass
104,Male,32,1,43,Fail
105,Male,35,7,36,Fail
106,Male,34,6,90,Pass
107,Male,21,2,64,Pass
108,Male,31,11,56,Fail
109,Female,23,7,47,Fail
110,Male,38,6,50,Fail
111,Female,22,5,79,Pass
112,Female,27,8,99,Pass
113,Male,28,5,45,Fail
114,Female,35,11,54,Fail
115,Female,30,2,97,Pass
116,Female,21,6,46,Fail
117,Male,26,1,96,Pass
118,Male,33,5,76,Pass
119,Male,34,6,92,Pass
120,Male,23,7,39,Fail
121,Female,31,2,61,Pass
122,Female,23,1,62,Pass
123,Female,30,6,60,Pass
124,Female,35,3,83,Pass
125,Female,31,5,55,Fail
126,Female,35,11,35,Fail
127,Male,33,2,92,Pass
128,Female,25,1,89,Pass
129,Female,24,1,60,Pass
130,Female,33,11,59,Fail
131,Male,29,4,67,Pass
132,Female,37,10,40,Fail
133,Female,22,2,57,Fail
134,Male,25,1,64,Pass
135,Female,36,6,88,Pass
136,Male,27,4,45,Fail
137,Male,21,10,65,Pass
138,Female,32,7,40,Fail
139,Female,31,11,45,Fail
140,Male,32,6,46,Fail
141,Female,32,5,100,Pass
142,Female,32,10,87,Pass
143,Male,34,2,70,Pass
144,Male,22,5,51,Fail
145,Female,22,9,62,Pass
146,Male,24,9,56,Fail
147,Female,36,2,41,Fail
148,Female,30,7,49,Fail
149,Female,33,10,45,Fail
150,Female,22,4,58,Fail
151,Male,23,3,64,Pass
152,Female,26,11,100,Pass
153,Male,28,1,95,Pass
154,Female,34,3,75,Pass
155,Female,30,11,85,Pass
156,Male,23,9,78,Pass
157,Female,26,9,47,Fail
158,Male,35,7,46,Fail
159,Male,38,3,43,Fail
160,Female,34,3,82,Pass
161,Female,30,4,83,Pass
162,Female,35,7,87,Pass
163,Female,24,7,90,Pass
164,Male,22,2,74,Pass
165,Female,23,5,58,Fail
166,Female,27,7,67,Pass
167,Female,36,7,57,Fail
168,Female,30,6,88,Pass
169,Female,37,10,87,Pass
170,Male,25,10,83,Pass
171,Female,33,8,83,Pass
172,Male,33,3,94,Pass
173,Female,31,1,99,Pass
174,Female,31,3,66,Pass
175,Female,36,11,55,Fail
176,Male,35,2,52,Fail
177,Female,37,2,94,Pass
178,Male,38,2,47,Fail
179,Male,24,5,58,Fail
180,Female,25,1,64,Pass
181,Male,27,10,36,Fail
182,Female,22,4,59,Fail
183,Female,21,10,84,Pass
184,Male,32,5,48,Fail
185,Female,30,2,40,Fail
186,Female,28,5,64,Pass
187,Male,21,10,64,Pass
188,Male,32,4,72,Pass
189,Male,22,8,92,Pass
190,Male,30,1,75,Pass
191,Male,37,5,91,Pass
192,Male,23,11,70,Pass
193,Female,27,10,98,Pass
194,Male,32,1,50,Fail
195,Male,28,10,48,Fail
196,Female,32,10,65,Pass
197,Female,23,4,100,Pass
198,Male,37,8,99,Pass
199,Male,29,1,89,Pass
200,Female,30,11,74,Pass
201,Male,26,2,59,Fail
202,Male,21,1,59,Fail
203,Female,32,11,37,Fail
204,Male,25,7,60,Pass
205,Female,33,2,74,Pass
206,Male,35,1,72,Pass
207,Female,31,6,72,Pass
208,Female,28,6,41,Fail
209,Female,25,10,64,Pass
210,Male,22,2,53,Fail
211,Female,32,1,69,Pass
212,Male,22,10,67,Pass
213,Female,36,3,67,Pass
214,Female,23,10,72,Pass
215,Female,30,5,44,Fail
216,Male,28,6,91,Pass
217,Male,27,3,62,Pass
218,Female,21,9,72,Pass
219,Male,32,11,50,Fail
220,Male,25,5,55,Fail
221,Male,36,2,40,Fail
222,Female,24,10,75,Pass
223,Male,37,6,49,Fail
224,Female,22,8,37,Fail
225,Female,32,11,77,Pass
226,Female,21,6,81,Pass
227,Male,32,4,48,Fail
228,Female,32,6,100,Pass
229,Male,32,8,63,Pass
230,Male,37,8,38,Fail
231,Female,31,10,60,Pass
232,Female,33,2,46,Fail
233,Female,28,8,36,Fail
234,Male,30,6,51,Fail
235,Male,28,2,69,Pass
236,Female,28,1,44,Fail
237,Female,29,6,77,Pass
238,Male,27,7,55,Fail
239,Male,34,10,49,Fail
240,Female,22,5,69,Pass
241,Male,31,10,94,Pass
242,Male,28,8,78,Pass
243,Male,33,11,39,Fail
244,Male,35,9,52,Fail
245,Male,23,4,55,Fail
246,Male,34,7,85,Pass
247,Female,35,8,75,Pass
248,Male,22,6,58,Fail
249,Female,32,2,58,Fail
250,Female,24,7,72,Pass
251,Male,23,9,78,Pass
252,Female,25,5,91,Pass
253,Female,23,2,93,Pass
254,Female,35,4,68,Pass
255,Male,22,3,57,Fail
256,Female,32,4,77,Pass
257,Male,25,10,74,Pass
258,Female,37,7,81,Pass
259,Female,34,10,75,Pass
260,Female,30,8,81,Pass
261,Female,23,1,54,Fail
262,Male,24,8,99,Pass
263,Female,26,5,58,Fail
264,Female,36,7,70,Pass
265,Male,27,11,79,Pass
266,Male,35,11,36,Fail
267,Male,31,1,62,Pass
268,Female,21,2,60,Pass
269,Male,25,1,57,Fail
270,Male,33,5,70,Pass
271,Male,34,6,40,Fail
272,Male,29,10,69,Pass
273,Male,37,9,72,Pass
274,Male,35,8,69,Pass
275,Female,27,7,87,Pass
276,Male,32,5,72,Pass
277,Female,26,3,93,Pass
278,Male,36,9,77,Pass
279,Male,25,5,38,Fail
280,Male,29,3,39,Fail
281,Female,34,3,79,Pass
282,Male,28,3,59,Fail
283,Male,34,6,45,Fail
284,Male,32,1,63,Pass
285,Male,30,11,68,Pass
286,Female,33,4,48,Fail
287,Female,35,8,58,Fail
288,Female,28,3,93,Pass
289,Female,30,5,73,Pass
290,Female,23,2,60,Pass
291,Male,23,2,77,Pass
292,Male,25,11,70,Pass
293,Male,36,7,73,Pass
294,Female,37,10,95,Pass
295,Male,26,3,50,Fail
296,Female,36,5,93,Pass
297,Male,22,3,40,Fail
298,Female,35,6,90,Pass
299,Male,38,10,42,Fail
300,Male,21,3,61,Pass
301,Male,32,8,61,Pass
302,Male,28,2,80,Pass
303,Female,26,3,75,Pass
304,Male,32,8,59,Fail
305,Male,27,8,52,Fail
306,Male,38,1,46,Fail
307,Female,34,8,85,Pass
308,Male,28,10,73,Pass
309,Male,34,2,44,Fail
310,Male,25,7,88,Pass
311,Male,29,6,63,Pass
312,Male,28,2,75,Pass
313,Female,22,5,43,Fail
314,Female,36,7,97,Pass
315,Female,33,8,71,Pass
316,Male,27,3,48,Fail
317,Female,36,1,73,Pass
318,Male,27,7,74,Pass
319,Male,34,5,88,Pass
320,Male,34,5,37,Fail
321,Male,32,7,89,Pass
322,Female,21,1,67,Pass
323,Female,21,8,53,Fail
324,Female,32,10,68,Pass
325,Male,35,5,84,Pass
326,Female,24,8,81,Pass
327,Female,27,10,80,Pass
328,Male,36,10,90,Pass
329,Female,23,5,91,Pass
330,Male,27,7,85,Pass
331,Female,26,10,88,Pass
332,Female,36,3,62,Pass
333,Female,28,2,53,Fail
334,Male,26,6,61,Pass
335,Female,30,5,82,Pass
336,Female,36,9,53,Fail
337,Female,31,10,85,Pass
338,Female,33,4,41,Fail
339,Male,26,11,63,Pass
340,Male,21,3,77,Pass
341,Female,32,9,92,Pass
342,Female,26,8,42,Fail
343,Female,38,6,76,Pass
344,Male,33,1,76,Pass
345,Female,27,10,47,Fail
346,Female,33,11,60,Pass
347,Male,28,1,52,Fail
348,Male,37,6,76,Pass
349,Male,29,3,85,Pass
350,Female,33,3,50,Fail
351,Male,22,6,37,Fail
352,Male,24,3,79,Pass
353,Female,22,11,56,Fail
354,Male,24,10,57,Fail
355,Female,38,6,93,Pass
356,Female,25,5,96,Pass
